date,Ibex 35,ibex 35 down,credito,recesión,Ibex 35%,ibex 35 down%,credito%,recesión%
2014-06-05,68,0,89,28,-4.23,0.0,0.0,-9.68
2014-06-06,79,0,88,8,16.18,0.0,-1.12,-71.43
2014-06-07,15,0,60,15,-81.01,0.0,-31.82,87.49
2014-06-08,15,0,48,20,0.0,0.0,-20.0,33.33
2014-06-09,84,0,88,20,459.97,0.0,83.33,0.0
2014-06-10,70,0,91,8,-16.67,0.0,3.41,-60.0
2014-06-11,62,0,90,20,-11.43,0.0,-1.1,149.98
2014-06-12,69,0,81,16,11.29,0.0,-10.0,-20.0
2014-06-13,58,0,86,21,-15.94,0.0,6.17,31.25
2014-06-14,10,0,58,15,-82.76,0.0,-32.56,-28.57
2014-06-15,8,0,48,15,-20.0,0.0,-17.24,0.0
2014-06-16,59,0,86,12,637.42,0.0,79.17,-20.0
2014-06-17,60,0,82,12,1.69,0.0,-4.65,0.0
2014-06-18,66,0,84,8,10.0,0.0,2.44,-33.33
2014-06-19,58,0,79,8,-12.12,0.0,-5.95,0.0
2014-06-20,64,0,83,9,10.34,0.0,5.06,12.5
2014-06-21,10,0,59,10,-84.37,0.0,-28.92,11.11
2014-06-22,11,0,53,10,10.0,0.0,-10.17,0.0
2014-06-23,59,0,76,8,436.32,0.0,43.4,-20.0
2014-06-24,56,0,83,32,-5.08,0.0,9.21,299.96
2014-06-25,59,0,90,24,5.36,0.0,8.43,-25.0
2014-06-26,65,0,91,8,10.17,0.0,1.11,-66.66
2014-06-27,52,0,87,0,-20.0,0.0,-4.4,-99.99
2014-06-28,11,0,58,10,-78.84,0.0,-33.33,1000000.0
2014-06-29,8,0,48,5,-27.27,0.0,-17.24,-50.0
2014-06-30,52,0,94,8,549.93,0.0,95.83,59.99
2014-07-01,67,0,91,20,28.85,0.0,-3.19,149.98
2014-07-02,51,0,93,25,-23.88,0.0,2.2,25.0
2014-07-03,57,0,93,13,11.76,0.0,0.0,-48.0
2014-07-04,59,0,81,4,3.51,0.0,-12.9,-69.23
2014-07-05,9,0,60,15,-84.74,0.0,-25.93,274.93
2014-07-06,5,0,53,15,-44.44,0.0,-11.67,0.0
2014-07-07,49,0,93,12,879.82,0.0,75.47,-20.0
2014-07-08,51,0,85,8,4.08,0.0,-8.6,-33.33
2014-07-09,56,0,85,20,9.8,0.0,0.0,149.98
2014-07-10,64,0,90,0,14.29,0.0,5.88,-100.0
2014-07-11,65,87,90,8,1.56,8700000.0,0.0,800000.0
2014-07-12,7,100,60,10,-89.23,14.94,-33.33,25.0
2014-07-13,10,0,44,0,42.85,-100.0,-26.67,-99.99
2014-07-14,56,0,90,4,459.95,0.0,104.54,400000.0
2014-07-15,51,0,98,16,-8.93,0.0,8.89,299.93
2014-07-16,59,0,96,8,15.69,0.0,-2.04,-50.0
2014-07-17,56,0,91,8,-5.08,0.0,-5.21,0.0
2014-07-18,46,0,91,0,-17.86,0.0,0.0,-99.99
2014-07-19,10,0,59,10,-78.26,0.0,-35.16,1000000.0
2014-07-20,6,0,53,10,-40.0,0.0,-10.17,0.0
2014-07-21,53,0,95,28,783.2,0.0,79.24,179.98
2014-07-22,51,0,96,28,-3.77,0.0,1.05,0.0
2014-07-23,56,0,94,8,9.8,0.0,-2.08,-71.43
2014-07-24,61,0,89,17,8.93,0.0,-5.32,112.49
2014-07-25,56,0,88,9,-8.2,0.0,-1.12,-47.06
2014-07-26,12,0,64,20,-78.57,0.0,-27.27,122.21
2014-07-27,9,0,54,0,-25.0,0.0,-15.62,-100.0
2014-07-28,52,0,88,0,477.72,0.0,62.96,0.0
2014-07-29,53,0,96,12,1.92,0.0,9.09,1200000.0
2014-07-30,63,0,96,4,18.87,0.0,0.0,-66.66
2014-07-31,71,0,94,20,12.7,0.0,-2.08,399.9
2014-08-01,54,0,90,13,-23.94,0.0,-4.26,-35.0
2014-08-02,14,0,61,10,-74.07,0.0,-32.22,-23.08
2014-08-03,6,0,53,10,-57.14,0.0,-13.11,0.0
2014-08-04,45,0,93,28,649.89,0.0,75.47,179.98
2014-08-05,51,0,96,20,13.33,0.0,3.23,-28.57
2014-08-06,52,0,94,12,1.96,0.0,-2.08,-40.0
2014-08-07,61,0,88,12,17.31,0.0,-6.38,0.0
2014-08-08,59,0,92,4,-3.28,0.0,4.55,-66.66
2014-08-09,9,0,63,5,-84.74,0.0,-31.52,24.99
2014-08-10,8,0,52,20,-11.11,0.0,-17.46,299.94
2014-08-11,51,0,91,12,537.43,0.0,75.0,-40.0
2014-08-12,50,0,88,24,-1.96,0.0,-3.3,99.99
2014-08-13,45,0,88,12,-10.0,0.0,0.0,-50.0
2014-08-14,46,0,82,16,2.22,0.0,-6.82,33.33
